개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),축산업무구분명,축산물가공업구분명,축산일련번호,권리주체일련번호,총인원
3230000,323000001019970003,19971030,,03,폐업,0002,폐업,20000722,,,,4191351,0,,,서울특별시 강남구 봉은사로72길 33, 101동 8층 1호 (삼성동, 영무예다음),06155,25시동물병원,20150728160918,I,2018-08-31 23:59:59.0,,204557.575517171    ,445352.425371856    ,동물병원,,,000,
3230000,323000001019970004,19971204,,03,폐업,0002,폐업,20220826,,,,02-473-6900,0,,서울특별시 송파구 풍납동 480-2,서울특별시 송파구 올림픽로 611 (풍납동),05519,천호동물병원,20220826164702,U,2021-12-07 22:08:00.0,,210741.421234803,448246.644645749,,,,,
3230000,323000001019980001,19980227,,03,폐업,0002,폐업,20020315,,,,4047582,0,,서울특별시 송파구 가락동 101-1번지 ,,,훼미리동물병원,20150730201454,I,2018-08-31 23:59:59.0,,210600.11492768     ,443166.621778007    ,동물병원,,,000,
3230000,323000001019980002,19980507,,03,폐업,0002,폐업,20000303,,,,4317575,0,,서울특별시 송파구 가락동 193-3번지 ,,,문정종합동물병원,20150729165735,I,2018-08-31 23:59:59.0,,211522.187830574    ,443693.193640948    ,동물병원,,,000,
3230000,323000001019980003,19980518,,03,폐업,0002,폐업,20000329,,,,4888275,0,,서울특별시 송파구 풍납동 504-1번지 ,,,박형우종합동물병원,20150729170545,I,2018-08-31 23:59:59.0,,210576.93002717     ,447660.489283034    ,동물병원,,,000,
3230000,323000001019980004,19980918,,03,폐업,0002,폐업,20020412,,,,449-8575,0,,서울특별시 송파구 마천동 211-45번지 ,서울특별시 송파구 성내천로 306 (마천동),,다사랑동물병원,20150728174356,I,2018-08-31 23:59:59.0,,213681.00725924     ,443507.687904286    ,동물병원,,,000,
3230000,323000001019980005,19981118,,03,폐업,0002,폐업,20050517,,,,2203-0040,0,,서울특별시 송파구 잠실동 40-1번지 ,서울특별시 송파구 올림픽로 240 (잠실동),,한울동물병원,20150730201212,I,2018-08-31 23:59:59.0,,208589.363343145    ,445455.90405262     ,동물병원,,,000,
3230000,323000001019980006,19981221,,03,폐업,0002,폐업,20000419,,,,4192611,0,,서울특별시 송파구 석촌동 252-2번지 ,,,엄마손동물병원,20150729173710,I,2018-08-31 23:59:59.0,,209056.605537083    ,444164.593063831    ,동물병원,,,000,
3230000,323000001019990001,19990108,,01,영업/정상,0000,정상,,,,,413-0075,0,,서울특별시 송파구 방이동 226-7번지 건양빌딩 ,서울특별시 송파구 오금로 247, 건양빌딩 (방이동),05645,가락종합동물병원,20190502163021,U,2019-05-04 02:40:00.0,,210632.391175015    ,444908.653893049    ,동물병원,,,000,
3230000,323000001019990002,19990430,,03,폐업,0002,폐업,20161101,,,,404-8275,0,,서울특별시 송파구 거여동 183-11번지 ,서울특별시 송파구 마천로 274 (거여동),,첼린저동물병원,20161102141528,I,2018-08-31 23:59:59.0,,212923.431207523    ,443926.046944952    ,동물병원,,,000,
3230000,323000001019990003,19990708,,03,폐업,0002,폐업,20000229,,,,4030222,0,,서울특별시 송파구 가락동 49-3번지 ,,,밍키종합동물병원,20150729165957,I,2018-08-31 23:59:59.0,,210649.574428192    ,443956.992699821    ,동물병원,,,000,
3230000,323000001019990004,19990708,,03,폐업,0002,폐업,20100518,,,,420-9993,0,,서울특별시 송파구 송파동 103-29번지 ,서울특별시 송파구 가락로 162 (송파동),,한양종합동물병원,20150730201055,I,2018-08-31 23:59:59.0,,209960.669881595    ,444566.344556444    ,동물병원,,,000,
3230000,323000001019990005,19990830,,03,폐업,0002,폐업,20010110,,,,4243662,0,,서울특별시 송파구 송파동 97-14 번지 ,,,LA종합동물병원,20030325154245,I,2018-08-31 23:59:59.0,,,,동물병원,,,000,
3230000,323000001019990006,19990713,,01,영업/정상,0000,정상,,,,,424-2955,243.8,,서울특별시 송파구 삼전동 132-12 신일빌딩 ,서울특별시 송파구 삼학사로 75, 신일빌딩 (삼전동),05603,하트동물메디컬센터,20210513100316,U,2021-05-15 02:40:00.0,,208492.722187505    ,444640.994915597    ,동물병원,,,000,
3230000,323000001019990007,19990916,,03,폐업,0002,폐업,20050414,,,,443-9229,0,,서울특별시 송파구 문정동 31번지 ,서울특별시 송파구 동남로4길 25 (문정동),,로데오24종합동물병원,20150728180504,I,2018-08-31 23:59:59.0,,210988.623541293    ,442868.607364986    ,동물병원,,,000,
3230000,323000001020000001,20000121,,03,폐업,0002,폐업,20040402,,,,400-3644,0,,서울특별시 송파구 가락동 190번지 ,서울특별시 송파구 오금로46길 36 (가락동),,더독동물병원,20150728174910,I,2018-08-31 23:59:59.0,,211753.703474149    ,443623.792976588    ,동물병원,,,000,
3230000,323000001020000002,20000124,,03,폐업,0002,폐업,20011119,,,,420-8133,0,,서울특별시 송파구 송파동 143-7번지 ,,,서광VETLAB,20150729171157,I,2018-08-31 23:59:59.0,,210174.7731322      ,445002.235824616    ,동물병원,,,000,
3230000,323000001020000003,20000228,,03,폐업,0002,폐업,20010131,,,,449-4617,0,,서울특별시 송파구 가락동 49-3번지 ,,,밍키종합동물병원,20150729170102,I,2018-08-31 23:59:59.0,,210649.574428192    ,443956.992699821    ,동물병원,,,000,
3230000,323000001020000004,20000304,,03,폐업,0002,폐업,20010205,,,,406-4814,0,,서울특별시 송파구 마천동 35번지 ,서울특별시 송파구 마천로 263 (마천동),,동물의왕국,20150728175437,I,2018-08-31 23:59:59.0,,212868.812454154    ,444025.540493315    ,동물병원,,,000,
3230000,323000001020000005,20000406,,03,폐업,0002,폐업,20011016,,,,4139181,0,,서울특별시 송파구 방이동 111번지 ,서울특별시 송파구 백제고분로48길 6 (방이동),,한성종합동물병원,20150730201005,I,2018-08-31 23:59:59.0,,209996.978132358    ,445483.819995873    ,동물병원,,,000,
3230000,323000001020000006,20000406,,03,폐업,0002,폐업,20001018,,,,2202-3515,0,,서울특별시 송파구 삼전동 7-6번지 ,,,서울동물의료원,20150729171406,I,2018-08-31 23:59:59.0,,207763.353192352    ,444701.207870431    ,동물병원,,,000,
3230000,323000001020000007,20000427,,03,폐업,0002,폐업,20010116,,,,419-2611,0,,서울특별시 송파구 석촌동 252-2번지 ,,,엄마손동물병원,20150729173802,I,2018-08-31 23:59:59.0,,209056.605537083    ,444164.593063831    ,동물병원,,,000,
3230000,323000001020000008,20000428,,03,폐업,0002,폐업,20110701,,,,431-7575,0,,서울특별시 송파구 가락동 193-3번지 ,서울특별시 송파구 동남로 202 (가락동),,문정종합동물병원,20150729165820,I,2018-08-31 23:59:59.0,,211522.187830574    ,443693.193640948    ,동물병원,,,000,
3230000,323000001020000009,20000515,,03,폐업,0002,폐업,20020724,,,,2202-3633,0,,서울특별시 송파구 석촌동 184-8번지 ,,,Di.J동물병원,20150731173855,I,2018-08-31 23:59:59.0,,209259.359221441    ,444929.159276105    ,동물병원,,,000,
3230000,323000001020000010,20000612,,03,폐업,0002,폐업,20000915,,,,408-8422,0,,서울특별시 송파구 오금동 78-6번지 ,,,메디텍코리아,20150729165555,I,2018-08-31 23:59:59.0,,211873.187253419    ,444777.912881086    ,동물병원,,,000,
3230000,323000001020000011,20040603,,03,폐업,0002,폐업,20110628,,,,2202-3515,0,,서울특별시 송파구 삼전동 7-6번지 지하1,지상1층 ,서울특별시 송파구 백제고분로 195 (삼전동,지하1,지상1층),,서울동물의료원,20150729171456,I,2018-08-31 23:59:59.0,,207763.353192352    ,444701.207870431    ,동물병원,,,000,
3230000,323000001020000012,20001019,,03,폐업,0002,폐업,20171228,,,,408-9725,0,,서울특별시 송파구 거여동 562-2번지 ,서울특별시 송파구 오금로 494 (거여동),,가람종합동물병원,20171228104549,I,2018-08-31 23:59:59.0,,212628.657325359    ,443449.116274425    ,동물병원,,,000,
3230000,323000001020000013,20001025,,03,폐업,0002,폐업,20020918,,,,2202-9915,0,,서울특별시 송파구 삼전동 5-3번지 ,,,25시동물병원,20150728161143,I,2018-08-31 23:59:59.0,,207835.267975002    ,444818.136471765    ,동물병원,,,000,
3230000,323000001020000014,20001025,,03,폐업,0002,폐업,20011126,,,,400-4633,0,,서울특별시 송파구 방이동 89-4번지 ,,,올림픽동물병원,20150730194020,I,2018-08-31 23:59:59.0,,212138.113381365    ,446315.752490531    ,동물병원,,,000,
3230000,323000001020000015,20000401,,03,폐업,0002,폐업,20040604,,,,484-4063,0,,서울특별시 송파구 풍납동 504-1번지 ,서울특별시 송파구 올림픽로 553 (풍납동),,박형우동물병원,20150729170435,I,2018-08-31 23:59:59.0,,210576.93002717     ,447660.489283034    ,동물병원,,,000,
3230000,323000001020010001,20010621,,01,영업/정상,0000,정상,,,,,424-3662,0,,서울특별시 송파구 송파동 97-14번지 ,서울특별시 송파구 송파대로 378 (송파동),05676,송파동물의료센터,20190306143729,U,2019-03-08 02:40:00.0,,209744.136012455    ,444378.559331522    ,동물병원,,,000,
3230000,323000001020010002,20010209,,03,폐업,0002,폐업,20020208,,,,406-4814,0,,서울특별시 송파구 마천동 35번지 ,서울특별시 송파구 마천로 263 (마천동),,동물의왕국,20150728175337,I,2018-08-31 23:59:59.0,,212868.812454154    ,444025.540493315    ,동물병원,,,000,
3230000,323000001020010003,20010215,,03,폐업,0002,폐업,20150526,,,,419-2611,0,,서울특별시 송파구 석촌동 252-2번지 ,서울특별시 송파구 가락로 62 (석촌동),,엄마손동물병원,20150729173830,I,2018-08-31 23:59:59.0,,209056.605537083    ,444164.593063831    ,동물병원,,,000,
