시군명,읍면동명,등록동물수,(등록주체)시군구등록,(등록주체)대행업체등록,(등록주체)기타,(RFID종류)내장형,(RFID종류)외장형,(RFID종류)인식표,등록품종수,등록소유자수,동물소유자당등록동물수,데이터기준일자
구리시,갈매동,1421,46,1375,0,780,551,90,54,1084,1.31,2022-05-25
구리시,교문동,2795,116,2677,2,1597,1028,170,78,2063,1.35,2022-05-25
구리시,사노동,82,15,67,0,32,36,14,17,51,1.61,2022-05-25
구리시,수택동,3622,142,3480,0,2013,1345,264,89,2617,1.38,2022-05-25
구리시,아천동,162,5,156,1,77,71,14,33,119,1.36,2022-05-25
구리시,인창동,3463,148,3314,1,1802,1365,296,80,2687,1.27,2022-05-25
구리시,토평동,836,25,811,0,418,363,55,50,658,1.33,2022-05-25
