순번,제조업체명,사료구분,생산사료명,생산능력_톤,등록일자,영업_상태
287,시라차코리아,단미(수입),육포,0,2020-06-23,정상
288,부지런한사람(라핀테이블),단미,섬유질사료(풋베기사료작물),0.1,2020-07-08,정상
289,두리마켓 수제간식,단미,"혼합성 단미사료, 동물성 단백질류(기타단백질)",0.05,2020-07-09,정상
290,일번지 견식,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2020-07-14,정상
291,꼬순냇내,단미,"혼합성 단미사료, 동물성 단백질류(기타단백질)",0.01,2020-07-16,정상
292,주식회사 리프패럿,배합,그 밖의 동물어류용 배합사료(애완용동물),4,2020-07-16,정상
293,반려당,단미,"혼합성단미사료, 기타동물성단백질류",0.05,2020-07-31,정상
294,코코베이커리,단미,혼합성단미사료,0.05,2020-08-05,정상
295,구떼포유,단미,"혼합성단미사료, 기타동물성단백질류, 식물성(채소류)",0.1,2020-08-07,정상
296,dear paws(디어포즈),단미,"혼합성단미사료, 기타동물성단백질류",0.01,2020-08-14,정상
297,로얄뉴트리코 주식회사,단미,"혼합성단미사료, 기타동물성단백질류",0.25,2020-08-21,정상
298,주식회사 에스에스펫코리아,배합(수입),배합사료,0,2020-08-21,정상
299,봉쓰베이커리,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2020-08-25,정상
300,홍시당,단미,"혼합성단미사료, 기타동물성단백질류",0.05,2020-08-25,정상
301,댕댕바게트,단미,"혼합성 단미사료, 기타동물성단백질류",0.02,2020-09-04,정상
302,펫솔컴퍼니,배합(수입),배합사료(애완동물용),0,2020-09-08,정상
303,레오까까,단미,"혼합성단미사료, 기타동물성단백질류",0.03,2020-09-14,정상
304,(주)한새교역,배합(수입),배합사료,0,2020-09-16,정상
305,맘마당,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2020-09-28,정상
306,주식회사 에스에스펫코리아,단미(수입),"식물성, 혼합성 등",0,2020-10-12,정상
307,주식회사 에스에스펫코리아,보조(수입),보조사료 향미제,0,2020-10-12,정상
308,개빵공방,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2020-10-27,정상
309,해리스힐,단미,"혼합성 단미사료, 기타동물성단백질류",0.01,2020-10-27,정상
310,개슈(GAESHU),단미,"혼합성 단미사료, 기타동물성단백질류, 채소류",0.01,2020-11-02,정상
311,짱이네새참,단미,"혼합성 단미사료, 기타동물성단백질류",0.01,2020-11-03,정상
312,한국해양바이오클러스터(주),배합,배합사료,0.7,2020-11-07,정상
313,마틸다 독,단미,"혼합성 단미사료, 기타동물성단백질류",0.01,2020-11-17,정상
314,호두네 수제간식,단미,"혼합성 단미사료, 기타동물성단백질류",0.01,2020-11-24,정상
315,유지홀딩스코리아 유한회사,배합(수입),배합사료(애완동물용),0,2020-11-25,정상
316,산책,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2020-12-17,정상
317,율츄'S,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-01-03,정상
318,땡큐버디,단미,혼합성단미사료. 기타동물성단백질류,0.01,2021-01-12,정상
319,주식회사 이앤케이,단미(수입),어분,0,2021-01-14,정상
320,이노크레이트,배합(수입),양식용광어사료,0,2021-01-25,정상
321,잇플레이러브(E Play Love),단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-01-27,정상
322,펫리셔스(plicious),단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-02-08,정상
323,주식회사 미래트레이딩,단미(수입),단미사료 섬유질류,0,2021-02-08,정상
324,주식회사 미래트레이딩,배합(수입),배합사료 반추용섬유질,0,2021-02-08,정상
325,동광테크,배합(수입),배합사료(반추동물용),0,2021-02-15,정상
326,댕이점빵,단미,"혼합성 단미사료, 기타동물성단백질류",0.03,2021-02-16,정상
327,제리식탁,단미,혼합성단미사료,0.05,2021-03-02,정상
328,아카독,단미,"혼합성 단미사료, 기타동물성단백질류",0.1,2021-03-02,정상
329,삼개식당,단미,혼합성단미사료,0.01,2021-03-05,정상
330,어뇽어뇽,단미,"혼합성단미사료, 기타동물성단백질류",0.2,2021-03-11,정상
331,태성무역,단미(수입),어분,0,2021-03-22,정상
332,냥냥댕댕,단미,"혼합성 단미사료, 기타동물성단백질류",0.05,2021-04-05,정상
333,마린트러스트(주),단미(수입),어유기름,0,2021-04-12,정상
334,잇츠몽몽,단미,"혼합성단미사료, 기타동물성단백질류",0.01,2021-04-14,정상
