순번,사업장명칭,소재지주소(도로명),위도,경도
51,그루밍 더 펫샵,"인천광역시 연수구 계림로 94, 1층 (청학동)",37.427786 ,126.668597 
52,따뜻한 동물병원,"인천광역시 연수구 용담로 145, 1층 (연수동)",37.413189 ,126.680290 
53,버블멍,"인천광역시 연수구 비류대로433번길 11, 연수길프라자 6층 601,602호 (연수동)",37.424921 ,126.682592 
54,사랑스럽개,"인천광역시 연수구 먼우금로83번길 12, 상가동 208호 (동춘동, 건영아파트)",37.408215 ,126.667699 
55,그루밍 더 펫샵,"인천광역시 연수구 계림로 94, 1층 (청학동)",37.427786 ,126.668597 
56,도그누리,"인천광역시 연수구 송도과학로16번길 33-2, 송도 트리플스트리트 B동 1층 114호 (송도동)",37.378451 ,126.663718 
57,개스트하우스,"인천광역시 연수구 먼우금로 259, 1층 (연수동)",37.419782 ,126.679648 
58,아로마하시개,"인천광역시 연수구 해돋이로84번길 30, 상가동 206호 (송도동, 송도금호어울림아파트)",37.391606 ,126.655534 
59,고양이 호텔 듀이(DEWEY),"인천광역시 연수구 신송로 165-14, 더 파라곤 4층 404호 (송도동)",37.395487 ,126.652160 
60,송도멍멍이발소,"인천광역시 연수구 독배로40번길 11, 효명프라자 지하층 103호 (옥련동)",37.424486 ,126.645626 
61,몽몽드(mon mon de),"인천광역시 연수구 학나래로6번길 58, 영재빌딩 7층 (선학동)",37.425575 ,126.698112 
62,라파엘동물병원,"인천광역시 연수구 신송로 165-19, 201,202호 (송도동)",37.395487 ,126.652160 
63,노성남 동물병원,"인천광역시 연수구 독배로 55, 1층 (옥련동)",37.425624 ,126.644334 
64,미유펫 강아지 고양이 인천점,"인천광역시 연수구 아트센터대로 198, 주유소 3동 (송도동)",37.400171 ,126.637829 
65,Pet Van Uncle JOO(펫 택시),"인천광역시 연수구 비류대로529번길 27-12, 102호 (선학동)",37.424385 ,126.692660 
66,지알에이무역(G.R.A TRADE),"인천광역시 연수구 함박로25번길 22-3, 3층 (연수동)",37.426872 ,126.680383 
67,멍멍으르렁컹컹 부대찌개,"인천광역시 연수구 새말로 82, 태원빌딩오피스텔 1층 (연수동)",37.418941 ,126.678664 
68,야옹아놀자,"인천광역시 연수구 먼우금로251번길 8-20, 1층 (연수동)",37.420118 ,126.679769 
69,별다섯 개,"인천광역시 연수구 송도문화로28번길 28, 201동 1-121호 (송도동, 송도글로벌캠퍼스푸르지오)",37.373381 ,126.663602 
70,멍멍아 반가워,"인천광역시 연수구 샘말로30번길 19, 1층 (연수동)",37.412261 ,126.679578 
71,복탄산수,"인천광역시 연수구 샘말로7번길 5, 1층 (연수동)",37.412041 ,126.677485 
72,멍다방,"인천광역시 연수구 비류대로294번길 32-5, 201호 (청학동)",37.424648 ,126.665976 
73,포시즌 동물병원,"인천광역시 연수구 아트센터대로 131, 커낼워크D2 SUMMER 202동 224호 (송도동)",37.400030 ,126.637903 
74,강아지미용실,"인천광역시 연수구 원인재로 56, 2동 404호 (동춘동, 현대아파트)",37.403309 ,126.676195 
75,반려동물 이동서비스,"인천광역시 연수구 원인재로 232, 102동 1204층 (연수동, 솔밭마을아파트)",37.414683 ,126.687855 
76,"호텔,멍","인천광역시 연수구 비류대로294번길 32-5, 202호 (청학동)",37.424648 ,126.665976 
77,(주)펫잇,"인천광역시 연수구 갯벌로 12, 미추홀타워(본관) (송도동)",37.381746 ,126.653479 
