지역,업체수(개소),비율(퍼센트),종사자수(명)
서울,1235,19.4,1636
부산,506,8,566
대구,337,5.3,403
인천,468,7.4,516
광주,205,3.2,215
대전,191,3,254
울산,156,2.5,192
세종,25,0.4,31
경기,1657,26.1,2104
강원,184,2.9,224
충북,143,2.3,174
충남,214,3.4,260
전북,159,2.5,190
전남,151,2.4,168
경북,243,3.8,270
경남,377,5.9,443
제주,100,1.6,104
