등록번호,영업종류,영업장명칭,지번주소,도로명주소
5350000-049-2018-0042,동물미용업(일반),진영동물병원,경상남도 김해시 진영읍 여래리 700-26 ,경상남도 김해시 진영읍 여래로 33
5350000-049-2018-0043,동물미용업(일반),헤어멍펫살롱,경상남도 김해시 삼계동 1491-12 ,경상남도 김해시 삼계중앙로6번길 2 (삼계동)
5350000-049-2018-0045,동물미용업(일반),진영조은동물병원,경상남도 김해시 진영읍 여래리 970 ,"경상남도 김해시 진영읍 본산로 9, 우리마트 3층"
5350000-049-2018-0046,동물미용업(일반),예뻐질개,경상남도 김해시 어방동 507-2 ,경상남도 김해시 활천로208번길 39 (어방동)
5350000-049-2018-0050,동물미용업(일반),땡큐멍멍,경상남도 김해시 관동동 1110-12 ,"경상남도 김해시 율하3로91번길 6-9, 102호 (관동동)"
5350000-049-2018-0053,동물미용업(일반),멍뭉이 이발소,경상남도 김해시 진영읍 진영리 1592-14 ,경상남도 김해시 진영읍 김해대로321번길 13
5350000-049-2018-0057,동물미용업(일반),세계로 동물병원,경상남도 김해시 내동 1119-1 내외빌딩 ,"경상남도 김해시 내외중앙로 75, 내외빌딩 (내동)"
5350000-049-2018-0058,동물미용업(일반),도그플러스 동물병원,경상남도 김해시 내동 1131-2 삼성홈플러스 ,"경상남도 김해시 김해대로 2078, 삼성홈플러스 2층 (내동)"
5350000-049-2018-0062,동물미용업(일반),프린세스 캣,경상남도 김해시 내동 159-14 ,"경상남도 김해시 금관대로 1317, 1층 (내동)"
5350000-049-2018-0063,동물미용업(일반),주주클럽 애견샵,경상남도 김해시 동상동 954-5 ,경상남도 김해시 분성로 343 (동상동)
5350000-049-2018-0064,동물미용업(일반),하늬동물병원,경상남도 김해시 삼방동 176-5 ,경상남도 김해시 삼안로195번길 36 (삼방동)
5350000-049-2018-0065,동물미용업(일반),자연은 동물병원,경상남도 김해시 삼방동 184-1 ,경상남도 김해시 삼안로195번길 31 (삼방동)
5350000-049-2018-0066,동물미용업(일반),행복애견,경상남도 김해시 삼방동 174-6 ,경상남도 김해시 활천로267번길 27-20 (삼방동)
5350000-049-2018-0067,동물미용업(일반),멍바라기,경상남도 김해시 삼정동 117-2 ,경상남도 김해시 활천로36번길 67-1 (삼정동)
5350000-049-2018-0069,동물미용업(일반),dog's 애견샵,경상남도 김해시 삼정동 601-8 ,경상남도 김해시 활천로16번길 27(삼정동)
5350000-049-2018-0070,동물미용업(일반),코코애견미용,경상남도 김해시 외동 1226-6 ,"경상남도 김해시 금관대로1190번길 17-15, 2층 (외동)"
5350000-049-2018-0071,동물미용업(일반),연지 동물병원,경상남도 김해시 구산동 1082-7 ,경상남도 김해시 김해대로 1968 (구산동)
5350000-049-2018-0074,동물미용업(일반),김해 동물병원,경상남도 김해시 삼계동 1486-4 ,경상남도 김해시 가야로 183 (삼계동)
5350000-049-2018-0077,동물미용업(일반),메리몰 펫샵,경상남도 김해시 삼방동 184-3 ,경상남도 김해시 삼안로195번길 25 (삼방동)
5350000-049-2018-0078,동물미용업(일반),우아한개,경상남도 김해시 삼방동 656-6 ,경상남도 김해시 삼안로 281 (삼방동)
5350000-049-2018-0080,동물미용업(일반),멍블링,경상남도 김해시 부곡동 1163-5 유성빌딩 ,"경상남도 김해시 월산로 13-11, 유성빌딩 (부곡동)"
5350000-049-2018-0084,동물미용업(일반),도그타운,경상남도 김해시 진영읍 진영리 1604-1 ,경상남도 김해시 진영읍 김해대로349번길 4-2
5350000-049-2018-0086,동물미용업(일반),라임 동물병원,경상남도 김해시 진영읍 진영리 1612-6 ,경상남도 김해시 진영읍 김해대로361번길 8
5350000-049-2018-0088,동물미용업(일반),고려 애견 미용실,경상남도 김해시 삼계동 1503-3 ,경상남도 김해시 삼계중앙로 46 (삼계동)
5350000-049-2018-0091,동물미용업(일반),우리종합 동물병원,경상남도 김해시 부곡동 1161-8 ,경상남도 김해시 능동로155번길 2 (부곡동)
5350000-049-2018-0092,동물미용업(일반),페츠비 동물병원,경상남도 김해시 부곡동 1161-10 ,"경상남도 김해시 능동로 159, 4층 (부곡동)"
5350000-049-2018-0093,동물미용업(일반),발라당 강아지,경상남도 김해시 관동동 1113-5 ,경상남도 김해시 관동로 125 (관동동)
5350000-049-2018-0097,동물미용업(일반),개털깎는여자,경상남도 김해시 외동 1244-5 ,경상남도 김해시 금관대로1180번길 57-1 (외동)
5350000-049-2018-0100,동물미용업(일반),스마일동물병원,경상남도 김해시 외동 533-2 ,경상남도 김해시 분성로 116 (외동)
5350000-049-2018-0105,동물미용업(일반),아멘다 펫살롱,경상남도 김해시 삼계동 1460-3 ,"경상남도 김해시 가야로 163, 202호 (삼계동)"
5350000-049-2019-0001,동물미용업(일반),놀이터 반려견 미용실,경상남도 김해시 진영읍 진영리 1731-5 ,경상남도 김해시 진영읍 장등1로31번길 4-17
5350000-049-2019-0003,동물미용업(일반),강아지 똥,경상남도 김해시 내동 1143-3 ,"경상남도 김해시 내외중앙로 72, 스카이빌 2층 (내동)"
5350000-049-2019-0004,동물미용업(일반),펫브릿지 김해점,경상남도 김해시 삼계동 1507-7 ,"경상남도 김해시 삼계로51번길 16, 2층 (삼계동)"
5350000-049-2019-0007,동물미용업(일반),장보는 강아지와 고양이(김해진영점),경상남도 김해시 진영읍 진영리 796-2 ,경상남도 김해시 진영읍 진산대로 213
5350000-049-2019-0008,동물미용업(일반),개쌀롱,경상남도 김해시 삼문동 1266 ,"경상남도 김해시 장유로334번길 85, 101호 (삼문동)"
5350000-049-2019-0010,동물미용업(일반),꽁냥꽁냥,경상남도 김해시 율하동 1306-5 ,경상남도 김해시 율하2로 78 (율하동)
5350000-049-2019-0011,동물미용업(일반),펫 살롱,경상남도 김해시 삼계동 1413-3 ,"경상남도 김해시 가야로 26, 101호 (삼계동)"
5350000-049-2019-0013,동물미용업(일반),야옹아멍멍해봐 장유점,경상남도 김해시 대청동 302-1 ,경상남도 김해시 번화1로 46 (대청동)
5350000-049-2019-0016,동물미용업(일반),도그어바웃,경상남도 김해시 삼방동 202-4 ,경상남도 김해시 삼안로 200 (삼방동)
5350000-049-2019-0019,동물미용업(일반),피터펫,경상남도 김해시 삼계동 1446-2 ,경상남도 김해시 가야로157번길 5-18 (삼계동)
5350000-049-2019-0026,동물미용업(일반),그랜드 동물병원,경상남도 김해시 율하동 1352-1 ,"경상남도 김해시 율하1로 110, 201호 (율하동)"
5350000-049-2019-0028,동물미용업(일반),망고 애견,경상남도 김해시 대청동 332-4 대청프라자 ,"경상남도 김해시 대청로 117, 대청프라자 A동 105호 (대청동)"
5350000-049-2019-0030,동물미용업(일반),이츠독,경상남도 김해시 삼정동 596-10 ,경상남도 김해시 김해대로2491번길 25 (삼정동)
5350000-049-2019-0032,동물미용업(일반),개밥주는언니,경상남도 김해시 삼정동 69-1 ,경상남도 김해시 분성로 466 (삼정동)
5350000-049-2019-0037,동물미용업(일반),#grooming,경상남도 김해시 율하동 1359-11 ,"경상남도 김해시 율하3로8번길 32, 1층 (율하동)"
5350000-049-2019-0040,동물미용업(일반),댕냥이살롱,경상남도 김해시 관동동 1063-9 ,경상남도 김해시 율하2로3번길 13 (관동동)
5350000-049-2019-0041,동물미용업(일반),뽀독뽀독,경상남도 김해시 율하동 1365-8 ,경상남도 김해시 율하2로126번길 10-8 (율하동)
5350000-049-2019-0044,동물미용업(일반),Fall in dog,경상남도 김해시 삼정동 372-12 ,"경상남도 김해시 김해대로2492번길 15-1, 1층 (삼정동)"
5350000-049-2019-0049,동물미용업(일반),뷰티풀독,경상남도 김해시 외동 1197-9 ,"경상남도 김해시 함박로45번길 27-8, 1층 (외동)"
5350000-049-2019-0050,동물미용업(일반),페이버 애견샵,경상남도 김해시 주촌면 선지리 950-4 김해센텀Q시티 ,"경상남도 김해시 주촌면 선지로87번길 11, 김해센텀Q시티 502동 209호"
5350000-049-2019-0051,동물미용업(일반),개털 깍는 강산이네,경상남도 김해시 동상동 1099 롯데캐슬가야1단지 상가 ,"경상남도 김해시 가야로 445, 롯데캐슬가야1단지 상가 2층 B204호 (동상동)"
5350000-049-2019-0052,동물미용업(일반),펫그룸,경상남도 김해시 지내동 67 동원아파트 상가 ,"경상남도 김해시 김해대로2715번길 36, 동원아파트 상가 11동 119호 (지내동)"
5350000-049-2019-0053,동물미용업(일반),마음을 담다 애견샵,경상남도 김해시 외동 1229-10 ,"경상남도 김해시 금관대로 1192, 2층 (외동)"
5350000-049-2019-0054,동물미용업(일반),BOB애견용품백화점,경상남도 김해시 진영읍 여래리 700-180 ,"경상남도 김해시 진영읍 여래로20번길 3, 1층"
5350000-049-2019-0057,동물미용업(일반),애견1번지,경상남도 김해시 동상동 768 ,"경상남도 김해시 호계로 492, 1층 (동상동)"
5350000-049-2019-0058,동물미용업(일반),START DOGS(스타트독스),경상남도 김해시 삼계동 1505-4 코아루센텀 오피스텔 112호,"경상남도 김해시 해반천로130번길 39, 코아루센텀 오피스텔 1층 112호 (삼계동)"
5350000-049-2019-0060,동물미용업(일반),산들 강아지,경상남도 김해시 관동동 1108-4 ,"경상남도 김해시 율하3로 109, 103호 (관동동)"
5350000-049-2019-0063,동물미용업(일반),강아지이발소,경상남도 김해시 구산동 558-5 ,경상남도 김해시 가락로 329 (구산동)
5350000-049-2020-0001,동물미용업(일반),개성있개,경상남도 김해시 내동 1096-6 ,"경상남도 김해시 경원로 9, 내동종합상가 A동 (내동)"
5350000-049-2020-0007,동물미용업(일반),도그패밀리,경상남도 김해시 삼방동 666-8 ,"경상남도 김해시 삼안로 247, 1층 (삼방동)"
5350000-049-2020-0009,동물미용업(일반),꿈꾸는 강아지,경상남도 김해시 관동동 475-14 ,"경상남도 김해시 덕정로204번길 16, 1층 (관동동)"
5350000-049-2020-0013,동물미용업(일반),DOG BINI(도그비니),경상남도 김해시 대청동 330-14 ,경상남도 김해시 반룡로4번길 11-7 (대청동)
5350000-049-2020-0016,동물미용업(일반),엔젤인독스,경상남도 김해시 진영읍 여래리 969-1 ,"경상남도 김해시 진영읍 본산로 15-17, 1층 118호"
5350000-049-2020-0017,동물미용업(일반),퍼피샤워,경상남도 김해시 삼정동 638-7 청구골드빌라 102호,"경상남도 김해시 인제로39번길 24, 102호 (삼정동, 청구골드빌라)"
5350000-049-2020-0019,동물미용업(일반),코아멍살롱,경상남도 김해시 부곡동 1160-1 ,경상남도 김해시 능동로155번길 10-8 (부곡동)
5350000-049-2020-0023,동물미용업(일반),귀염귀염 애견미용,경상남도 김해시 외동 1252-2 삼우빌딩 ,"경상남도 김해시 함박로101번길 22, 삼우빌딩 111호 (외동)"
5350000-049-2020-0024,동물미용업(일반),도도멍,경상남도 김해시 부곡동 801-3 월산마을부영아파트 ,"경상남도 김해시 대청로 421, 1층 (부곡동, 월산마을부영아파트)"
5350000-049-2020-0028,동물미용업(일반),꽃강아지,경상남도 김해시 내동 1090-7 ,"경상남도 김해시 금관대로 1310, 1층 (내동)"
5350000-049-2020-0029,동물미용업(일반),DOG.(독점),경상남도 김해시 진영읍 진영리 1588-9 ,"경상남도 김해시 진영읍 진산대로26번길 13-7, 102호"
5350000-049-2020-0035,동물미용업(일반),라라도그,경상남도 김해시 봉황동 74-8 ,"경상남도 김해시 김해대로2324번길 48-23, 102호 (봉황동)"
5350000-049-2020-0036,동물미용업(일반),살롱 드 따따,경상남도 김해시 진영읍 진영리 1633-2 ,"경상남도 김해시 진영읍 장등로 46, 102호"
5350000-049-2020-0038,동물미용업(일반),율하 위드동물병원,경상남도 김해시 장유동 875-4 ,경상남도 김해시 율하로 476 (장유동)
5350000-049-2020-0040,동물미용업(일반),"또와,기다릴개",경상남도 김해시 삼정동 637-10 동아빌라 ,"경상남도 김해시 분성로512번길 23 (삼정동, 동아빌라)"
5350000-049-2020-0042,동물미용업(일반),파티펫,경상남도 김해시 삼문동 1266 ,"경상남도 김해시 장유로334번길 75, 131동 103호 (삼문동)"
5350000-049-2020-0047,동물미용업(일반),살롱드몽몽,경상남도 김해시 관동동 1088-3 ,"경상남도 김해시 관동로 83, 1층 (관동동)"
5350000-049-2020-0052,동물미용업(일반),도그매니아,경상남도 김해시 외동 705-1 동성아파트 ,"경상남도 김해시 평전로 33, 상가동 109호 (외동, 동성아파트)"
5350000-049-2021-0001,동물미용업(일반),웰컴댕댕,경상남도 김해시 대청동 71-9 엔플러스투빌딩 ,"경상남도 김해시 번화1로68번길 19, 엔플러스투빌딩 10층 (대청동)"
5350000-049-2021-0002,동물미용업(일반),PET#개스트하우스,경상남도 김해시 삼계동 1503-6 ,"경상남도 김해시 해반천로130번길 31, 2층 201호 (삼계동)"
5350000-049-2021-0004,동물미용업(일반),하이댕댕 펫살롱,경상남도 김해시 대청동 287-14 ,"경상남도 김해시 계동로137번길 4, 1층 (대청동)"
