제조업체명,사료종류,성분등록번호,사료명,사료성분명,사료성분량,데이터기준일자
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50012,혼합성단미사료12,조단백질,45.1% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50012,혼합성단미사료12,수분,43.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50012,혼합성단미사료12,조회분,2.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,조지방,7.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,조단백질,32.5% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,수분,53.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50013,혼합성단미사료13,조회분,12.0% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,조지방,4.1% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,조단백질,46.9% 이상,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,수분,42.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50014,혼합성단미사료14,조회분,9.5% 이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조지방,15%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조단백질,25%이상,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,수분,8%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조섬유,5%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,조회분,3.6%이하,2019-11-25
강아지와 고양이의 구멍가게,단미사료 (혼합성-혼합제),PP6DD0002,혼합성단미사료2,펩신소화율,72%이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,조지방,5.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,조단백질,57.6% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,수분,32.9% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40001,육포2,조회분,5.6% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,조지방,4.5% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,조단백질,54.8% 이상,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,수분,30.3% 이하,2019-11-25
도기키친 프롬제주,단미사료 (동물성-단백질류),PP6F40004,육골포2,조회분,6.4% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50002,혼합성단미사료2,조지방,8.7% 이하,2019-11-25
도기키친 프롬제주,단미사료 (혼합성-혼합제),PP6F50002,혼합성단미사료2,조단백질,9.2% 이상,2019-11-25
